Id,Weekly_Sales
1_1_2012-11-02,25173.819966666666
1_1_2012-11-09,20323.8016
1_1_2012-11-16,19457.118650000004
1_1_2012-11-23,20997.341433333335
1_1_2012-11-30,20931.543383333337
1_1_2012-12-07,32896.90976666668
1_1_2012-12-14,42484.58868333332
1_1_2012-12-21,51572.533383333335
1_1_2012-12-28,20889.900866666663
1_1_2013-01-04,16872.00471666666
1_1_2013-01-11,16882.6862
1_1_2013-01-18,17651.64495
1_1_2013-01-25,18067.236433333343
1_1_2013-02-01,23474.688283333337
1_1_2013-02-08,36560.47393333336
1_1_2013-02-15,25446.82458333334
1_1_2013-02-22,22443.708966666672
1_1_2013-03-01,21862.678333333333
1_1_2013-03-08,24927.718533333336
1_1_2013-03-15,22585.726066666666
1_1_2013-03-22,31421.038700000012
1_1_2013-03-29,29161.81383333334
1_1_2013-04-05,36650.462350000016
1_1_2013-04-12,29224.28625
1_1_2013-04-19,29129.65738333333
1_1_2013-04-26,28804.454049999997
1_1_2013-05-03,24622.28448333333
1_1_2013-05-10,27210.446600000003
1_1_2013-05-17,23102.74936666667
1_1_2013-05-24,20354.9383
1_1_2013-05-31,19845.565966666665
1_1_2013-06-07,20265.06841666667
1_1_2013-06-14,19302.488383333333
1_1_2013-06-21,19225.25821666666
1_1_2013-06-28,19085.75378484849
1_1_2013-07-05,19852.21843333333
1_1_2013-07-12,20041.55458333333
1_1_2013-07-19,19660.06648333334
1_1_2013-07-26,19535.040501515152
1_2_2012-11-02,45491.0035
1_2_2012-11-09,45700.71476666667
1_2_2012-11-16,45375.33786666668
1_2_2012-11-23,47764.13569999999
1_2_2012-11-30,49014.06814999999
1_2_2012-12-07,47952.30816666665
1_2_2012-12-14,48104.58206666667
1_2_2012-12-21,52132.45578333334
1_2_2012-12-28,41381.4181
1_2_2013-01-04,42533.68501666666
1_2_2013-01-11,43719.41524166666
1_2_2013-01-18,42761.48449999999
1_2_2013-01-25,42402.08129166668
1_2_2013-02-01,50208.52341666667
1_2_2013-02-08,50813.46614999999
1_2_2013-02-15,50892.45428333332
1_2_2013-02-22,50940.660299999974
1_2_2013-03-01,47745.589958333345
